trade_id,entry_time,entry_price,exit_time,exit_price,side,leg,floating_max_usd,floating_min_usd,realised_pnl_usd,exit_reason
75,2026-06-11 19:00:00,4102.54,2026-06-11 19:15:00,4083.924,SHORT,B,6.92,-1.47,5.58,TP(fixed)
76,2026-06-17 14:45:00,4323.59,2026-06-17 15:30:00,4328.977,LONG,A,2.6,-1.09,1.62,TP(leg A)
77,2026-06-17 14:45:00,4323.59,2026-06-17 15:30:00,4330.593,LONG,B,2.6,-1.09,2.1,TP(fixed)
78,2026-06-19 15:45:00,4178.79,2026-06-19 15:45:00,4169.301,SHORT,A,9.5,-0.32,2.85,TP(leg A)
79,2026-06-19 15:45:00,4178.79,2026-06-19 15:45:00,4166.454,SHORT,B,9.5,-0.32,3.7,TP(fixed)
80,2026-06-23 17:00:00,4137.36,2026-06-23 17:30:00,4126.21,SHORT,A,4.61,-2.26,3.34,TP(leg A)
81,2026-06-23 17:00:00,4137.36,2026-06-23 17:30:00,4122.865,SHORT,B,4.61,-2.26,4.35,TP(fixed)
82,2026-06-25 16:00:00,4030.93,2026-06-25 16:00:00,4019.519,SHORT,A,5.61,-0.89,3.42,TP(leg A)
83,2026-06-25 16:00:00,4030.93,2026-06-25 16:00:00,4016.095,SHORT,B,5.61,-0.89,4.45,TP(fixed)
84,2026-06-30 14:15:00,4033.05,2026-06-30 15:15:00,4024.939,SHORT,A,5.5,-1.59,2.43,TP(leg A)
85,2026-06-30 14:15:00,4033.05,2026-06-30 15:15:00,4022.506,SHORT,B,5.5,-1.59,3.16,TP(fixed)
86,2026-06-30 17:15:00,4054.27,2026-06-30 17:45:00,4042.693,SHORT,A,5.12,-2.7,3.47,TP(leg A)
87,2026-06-30 17:15:00,4054.27,2026-06-30 17:45:00,4039.22,SHORT,B,5.12,-2.7,4.52,TP(fixed)
88,2026-07-02 20:45:00,4107.15,2026-07-02 21:00:00,4118.327,LONG,A,4.98,-0.4,3.35,TP(leg A)
89,2026-07-02 20:45:00,4107.15,2026-07-02 21:00:00,4121.679,LONG,B,4.98,-0.4,4.36,TP(fixed)
90,2026-07-03 17:00:00,4162.58,2026-07-03 17:45:00,4169.449,LONG,A,2.51,-2.2,2.06,TP(leg A)
91,2026-07-03 17:00:00,4162.58,2026-07-03 18:00:00,4171.51,LONG,B,3.43,-2.2,2.68,TP(fixed)
92,2026-07-06 17:30:00,4130.4,2026-07-06 17:30:00,4139.42,LONG,A,3.35,-0.61,2.71,TP(leg A)
93,2026-07-06 17:30:00,4130.4,2026-07-06 18:00:00,4142.126,LONG,B,4.81,-0.61,3.52,TP(fixed)
94,2026-07-07 15:00:00,4173.33,2026-07-07 15:00:00,4164.677,SHORT,A,5.58,-0.47,2.6,TP(leg A)
95,2026-07-07 15:00:00,4173.33,2026-07-07 15:00:00,4162.081,SHORT,B,5.58,-0.47,3.37,TP(fixed)
96,2026-07-09 16:30:00,4127.35,2026-07-09 16:45:00,4118.568,SHORT,A,2.86,-0.65,2.63,TP(leg A)
97,2026-07-09 16:30:00,4127.35,2026-07-09 17:15:00,4115.933,SHORT,B,3.9,-2.72,3.43,TP(fixed)
98,2026-07-15 15:45:00,4067.89,2026-07-15 16:15:00,4060.068,SHORT,A,4.07,-1.94,2.35,TP(leg A)
99,2026-07-15 15:45:00,4067.89,2026-07-15 16:15:00,4057.721,SHORT,B,4.07,-1.94,3.05,TP(fixed)
100,2026-07-20 17:00:00,3998.53,2026-07-20 17:00:00,4006.127,LONG,A,2.73,-0.15,2.28,TP(leg A)
101,2026-07-20 17:00:00,3998.53,2026-07-20 17:30:00,4008.406,LONG,B,3.65,-0.15,2.96,TP(fixed)
102,2026-07-21 14:30:00,4056.7,2026-07-21 15:15:00,4062.706,LONG,A,2.75,-0.61,1.8,TP(leg A)
103,2026-07-21 14:30:00,4056.7,2026-07-21 15:15:00,4064.508,LONG,B,2.75,-0.61,2.34,TP(fixed)
104,2026-07-27 16:15:00,4076.36,2026-07-27 16:15:00,4083.251,LONG,A,3.2,-0.2,2.07,TP(leg A)
105,2026-07-27 16:15:00,4076.36,2026-07-27 16:15:00,4085.318,LONG,B,3.2,-0.2,2.69,TP(fixed)
