timeframe,strategy_name,exit_model,filter_preset,experiment_name,segment,split_time,row_count,base_candidate_count,accepted_candidate_count,candidate_acceptance_rate,trade_count,net_profit,profit_per_trade,profit_factor,win_rate,sharpe,sortino,max_drawdown,ending_balance,dominant_hour_trade_share,top_three_hours_trade_share,dominant_hour_pnl_share
M5,trend_pullback,fixed_tp_plus_mr,loose,adaptive_quality,OOS,2025-07-23 07:55:00,71937,9266,4186,0.45175911936110513,2120,24232.425821037887,11.430389538225418,1.541592525757039,0.5009433962264151,1.7434183170882798,23.37470744215339,55.24339055810129,25732.425821037887,0.07169811320754717,0.2037735849056604,0.5172974471966135
M5,trend_pullback,fixed_tp_plus_mr,loose,session_plus_adaptive,OOS,2025-07-23 07:55:00,71937,9266,2755,0.2973235484567235,1344,21361.700917177222,15.894122706233052,1.8104268181733443,0.5200892857142857,1.5996508730129475,29.41080097789237,23.07681218893407,22861.700917177222,0.109375,0.30282738095238093,0.6061484578440255
M5,trend_pullback,fixed_tp_plus_mr,moderate,baseline_all_day,IS,2025-07-23 07:55:00,287744,34078,34078,1.0,284,-525.226420392155,-1.8493888041977289,0.7828531546258195,0.528169014084507,-1.7641024518701791,-3.2113143354871725,51.297499814581215,974.773579607845,0.09859154929577464,0.24295774647887325,0.20409882430051712
M5,trend_pullback,fixed_tp_plus_mr,moderate,session_only,IS,2025-07-23 07:55:00,287744,34078,19770,0.5801396795586595,228,-528.8611874993967,-2.319566611839459,0.7673573411649997,0.5043859649122807,-1.7215048973743354,-3.678920838058855,47.32561835557306,971.1388125006033,0.14035087719298245,0.36403508771929827,0.4301652530060287
M5,trend_pullback,fixed_tp_plus_mr,moderate,volume_only,IS,2025-07-23 07:55:00,287744,34078,18923,0.5552849345618874,38,32986.4420151177,868.0642635557289,46.357969039783804,0.3157894736842105,0.9977815688540286,421.6665121352469,33.543865658820025,34486.4420151177,0.18421052631578946,0.5263157894736842,0.9986359783030985
M5,trend_pullback,fixed_tp_plus_mr,moderate,atr_only,IS,2025-07-23 07:55:00,287744,34078,24092,0.7069663712659193,154,-513.6726468225061,-3.335536667678611,0.6923735505895885,0.5324675324675324,-2.0034041554056556,-4.5905223624885565,46.9081740259657,986.3273531774939,0.14935064935064934,0.33116883116883117,0.25431075408947895
M5,trend_pullback,fixed_tp_plus_mr,moderate,adx_only,IS,2025-07-23 07:55:00,287744,34078,22977,0.6742473149832736,48,32982.90167557537,687.1437849078202,41.45565432528272,0.3125,0.9949770402235673,356.5703813143503,33.73988829497557,34482.90167557537,0.14583333333333334,0.3958333333333333,0.9987472601501051
M5,trend_pullback,fixed_tp_plus_mr,moderate,volume_atr,IS,2025-07-23 07:55:00,287744,34078,16850,0.4944538998767533,108,32967.76177040456,305.2570534296719,35.22745631486228,0.26851851851851855,0.9894713666003674,341.0075987282392,36.822701255119036,34467.76177040456,0.2222222222222222,0.4444444444444444,0.9989708342746672
M5,trend_pullback,fixed_tp_plus_mr,moderate,adaptive_quality,IS,2025-07-23 07:55:00,287744,34078,11746,0.3446798521039967,128,32965.2900083588,257.54132819030315,32.06979338124204,0.296875,0.9886958108493272,332.16343544349365,36.979022801966984,34465.2900083588,0.21875,0.453125,0.9990158820468746
M5,trend_pullback,fixed_tp_plus_mr,moderate,session_plus_adaptive,IS,2025-07-23 07:55:00,287744,34078,9369,0.27492810610951346,71,32967.71930881868,464.33407477209414,40.46471643895955,0.2676056338028169,0.9918157001871093,335.40168888218034,36.454567950227926,34467.71930881868,0.28169014084507044,0.6197183098591549,0.9999549678912395
M5,trend_pullback,fixed_tp_plus_mr,moderate,baseline_all_day,OOS,2025-07-23 07:55:00,71937,9266,9266,1.0,4383,31077.866290325088,7.090546723779395,1.3615756611874945,0.5026237736710016,2.209466567368245,21.1559956418433,58.01522333101027,32577.866290325088,0.055213324207164044,0.16290212183436004,0.42384731285236
