entry_hour,trades,net_pnl_cents,mean_pnl_cents,win_rate,timeframe,filter_preset,segment,experiment_name
20,5,46.800558562358674,9.360111712471735,0.6,M15,moderate,IS,session_only
2,2,4.10597651279204,2.05298825639602,0.5,M15,moderate,IS,volume_only
3,9,7.555058579359866,0.8394509532622073,0.3333333333333333,M15,moderate,IS,volume_only
4,7,-15.401598579942402,-2.2002283685632,0.2857142857142857,M15,moderate,IS,volume_only
5,2,-25.401124499367143,-12.700562249683571,0.0,M15,moderate,IS,volume_only
6,2,-16.027304982935675,-8.013652491467838,0.0,M15,moderate,IS,volume_only
7,5,-42.30022487463884,-8.460044974927769,0.0,M15,moderate,IS,volume_only
8,8,-50.41105661051006,-6.301382076313757,0.125,M15,moderate,IS,volume_only
9,4,-12.944088624435608,-3.236022156108902,0.25,M15,moderate,IS,volume_only
10,14,33386.86330429065,2384.775950306475,0.42857142857142855,M15,moderate,IS,volume_only
11,4,6.975339476052795,1.7438348690131988,0.5,M15,moderate,IS,volume_only
12,7,-52.83353407374307,-7.547647724820438,0.14285714285714285,M15,moderate,IS,volume_only
13,15,-70.38070679067005,-4.692047119378003,0.26666666666666666,M15,moderate,IS,volume_only
14,13,-23.73141754225344,-1.8254936570964184,0.38461538461538464,M15,moderate,IS,volume_only
15,6,-50.4960460767461,-8.416007679457683,0.16666666666666666,M15,moderate,IS,volume_only
16,4,-54.3037426893261,-13.575935672331525,0.0,M15,moderate,IS,volume_only
17,6,13.489005401902432,2.2481675669837387,0.3333333333333333,M15,moderate,IS,volume_only
18,2,19.268393913753243,9.634196956876622,0.5,M15,moderate,IS,volume_only
19,2,-24.466221852912895,-12.233110926456447,0.0,M15,moderate,IS,volume_only
20,3,-158.70735252435225,-52.90245084145075,0.0,M15,moderate,IS,volume_only
2,3,17.748157546666334,5.916052515555445,0.3333333333333333,M15,moderate,IS,atr_only
3,6,-77.51161505357686,-12.918602508929476,0.16666666666666666,M15,moderate,IS,atr_only
4,7,-84.19142341184852,-12.027346201692646,0.2857142857142857,M15,moderate,IS,atr_only
5,5,-108.64761437979269,-21.729522875958537,0.0,M15,moderate,IS,atr_only
8,5,4.484129209790808,0.8968258419581616,0.4,M15,moderate,IS,atr_only
9,2,-55.930622856421905,-27.965311428210953,0.0,M15,moderate,IS,atr_only
10,4,-31.487778075957067,-7.871944518989267,0.25,M15,moderate,IS,atr_only
11,7,-22.662254075903547,-3.2374648679862212,0.42857142857142855,M15,moderate,IS,atr_only
12,5,28.264082032605984,5.652816406521197,0.6,M15,moderate,IS,atr_only
13,7,55.535160594613444,7.933594370659064,0.5714285714285714,M15,moderate,IS,atr_only
14,6,0.6374978552776156,0.10624964254626927,0.5,M15,moderate,IS,atr_only
15,2,-64.84209532842215,-32.42104766421107,0.0,M15,moderate,IS,atr_only
16,2,-81.09655191694401,-40.548275958472004,0.0,M15,moderate,IS,atr_only
17,5,13.969405586499306,2.793881117299861,0.6,M15,moderate,IS,atr_only
18,3,-64.42924658326774,-21.476415527755915,0.3333333333333333,M15,moderate,IS,atr_only
19,2,39.13311072217766,19.56655536108883,0.5,M15,moderate,IS,atr_only
20,5,46.800558562358674,9.360111712471735,0.6,M15,moderate,IS,atr_only
21,7,-94.41065603274637,-13.487236576106625,0.2857142857142857,M15,moderate,IS,atr_only
22,2,-56.80401467411684,-28.40200733705842,0.0,M15,moderate,IS,atr_only
0,3,-61.59194369108718,-20.53064789702906,0.0,M15,moderate,IS,adx_only
1,3,-16.649483281489665,-5.549827760496555,0.0,M15,moderate,IS,adx_only
2,3,-1.8538108431266664,-0.6179369477088889,0.3333333333333333,M15,moderate,IS,adx_only
3,7,-20.928480121724533,-2.989782874532076,0.2857142857142857,M15,moderate,IS,adx_only
4,8,49.10005324261874,6.137506655327343,0.5,M15,moderate,IS,adx_only
5,8,-42.05303667588851,-5.256629584486063,0.125,M15,moderate,IS,adx_only
6,5,0.8661009574188938,0.17322019148377876,0.4,M15,moderate,IS,adx_only
7,1,-7.11789470925396,-7.11789470925396,0.0,M15,moderate,IS,adx_only
8,5,-23.283256248346333,-4.656651249669267,0.2,M15,moderate,IS,adx_only
9,3,-28.564423645248098,-9.521474548416032,0.0,M15,moderate,IS,adx_only
10,11,33392.69021833222,3035.699110757475,0.45454545454545453,M15,moderate,IS,adx_only
11,8,-33.19833748000292,-4.149792185000365,0.25,M15,moderate,IS,adx_only
12,10,-27.316373804351315,-2.7316373804351315,0.3,M15,moderate,IS,adx_only
13,12,-24.431713526023486,-2.035976127168624,0.3333333333333333,M15,moderate,IS,adx_only
14,17,-33.27863036909548,-1.9575664922997342,0.35294117647058826,M15,moderate,IS,adx_only
15,4,-49.99790402768667,-12.499476006921668,0.0,M15,moderate,IS,adx_only
16,2,-32.388249317464215,-16.194124658732107,0.0,M15,moderate,IS,adx_only
17,4,40.292185438333945,10.073046359583486,0.5,M15,moderate,IS,adx_only
18,3,7.343016813674694,2.447672271224898,0.3333333333333333,M15,moderate,IS,adx_only
19,2,-24.466221852912895,-12.233110926456447,0.0,M15,moderate,IS,adx_only
20,5,-177.17588436642473,-35.435176873284945,0.0,M15,moderate,IS,adx_only
21,2,6.061888175026979,3.0309440875134896,0.5,M15,moderate,IS,adx_only
22,3,-30.144828191760098,-10.048276063920033,0.0,M15,moderate,IS,adx_only
23,2,-16.846008304032694,-8.423004152016347,0.0,M15,moderate,IS,adx_only
2,2,4.10597651279204,2.05298825639602,0.5,M15,moderate,IS,volume_atr
3,6,-35.6332917545069,-5.938881959084483,0.16666666666666666,M15,moderate,IS,volume_atr
4,4,-41.05178771935698,-10.262946929839245,0.0,M15,moderate,IS,volume_atr
5,1,-10.215767404852159,-10.215767404852159,0.0,M15,moderate,IS,volume_atr
6,1,-9.177498893623124,-9.177498893623124,0.0,M15,moderate,IS,volume_atr
7,2,-19.589790070713207,-9.794895035356603,0.0,M15,moderate,IS,volume_atr
8,4,-14.99300179009424,-3.74825044752356,0.25,M15,moderate,IS,volume_atr
9,4,-12.944088624435608,-3.236022156108902,0.25,M15,moderate,IS,volume_atr
10,13,33398.18405697391,2569.0910813056853,0.46153846153846156,M15,moderate,IS,volume_atr
11,1,-11.127377065868131,-11.127377065868131,0.0,M15,moderate,IS,volume_atr
12,3,-51.75467167132865,-17.251557223776217,0.3333333333333333,M15,moderate,IS,volume_atr
13,7,-91.10554696675536,-13.015078138107908,0.14285714285714285,M15,moderate,IS,volume_atr
14,9,-62.60783906093366,-6.956426562325962,0.3333333333333333,M15,moderate,IS,volume_atr
15,4,-55.44668515647572,-13.86167128911893,0.0,M15,moderate,IS,volume_atr
16,2,-32.388249317464215,-16.194124658732107,0.0,M15,moderate,IS,volume_atr
17,2,64.25820259985812,32.12910129992906,0.5,M15,moderate,IS,volume_atr
19,1,-14.096942376772859,-14.096942376772859,0.0,M15,moderate,IS,volume_atr
20,3,-158.70735252435225,-52.90245084145075,0.0,M15,moderate,IS,volume_atr
2,2,4.10597651279204,2.05298825639602,0.5,M15,moderate,IS,adaptive_quality
3,6,-35.6332917545069,-5.938881959084483,0.16666666666666666,M15,moderate,IS,adaptive_quality
4,5,4.212114798451694,0.8424229596903388,0.4,M15,moderate,IS,adaptive_quality
5,1,-10.215767404852159,-10.215767404852159,0.0,M15,moderate,IS,adaptive_quality
6,1,-9.177498893623124,-9.177498893623124,0.0,M15,moderate,IS,adaptive_quality
8,4,-14.99300179009424,-3.74825044752356,0.25,M15,moderate,IS,adaptive_quality
9,3,-28.564423645248098,-9.521474548416032,0.0,M15,moderate,IS,adaptive_quality
10,11,33392.69021833222,3035.699110757475,0.45454545454545453,M15,moderate,IS,adaptive_quality
11,1,-11.127377065868131,-11.127377065868131,0.0,M15,moderate,IS,adaptive_quality
12,2,-66.55235939538215,-33.27617969769108,0.0,M15,moderate,IS,adaptive_quality
13,7,-91.10554696675536,-13.015078138107908,0.14285714285714285,M15,moderate,IS,adaptive_quality
14,9,-62.60783906093366,-6.956426562325962,0.3333333333333333,M15,moderate,IS,adaptive_quality
15,3,-41.74658644426927,-13.915528814756422,0.0,M15,moderate,IS,adaptive_quality
16,2,-32.388249317464215,-16.194124658732107,0.0,M15,moderate,IS,adaptive_quality
17,4,37.98518001742195,9.496295004355488,0.25,M15,moderate,IS,adaptive_quality
18,1,-12.35771380008373,-12.35771380008373,0.0,M15,moderate,IS,adaptive_quality
19,2,-24.466221852912895,-12.233110926456447,0.0,M15,moderate,IS,adaptive_quality
20,3,-158.70735252435225,-52.90245084145075,0.0,M15,moderate,IS,adaptive_quality
7,3,-22.710434803925637,-7.5701449346418785,0.0,M15,moderate,IS,session_plus_adaptive
8,8,-50.41105661051006,-6.301382076313757,0.125,M15,moderate,IS,session_plus_adaptive
9,3,-28.564423645248098,-9.521474548416032,0.0,M15,moderate,IS,session_plus_adaptive
10,11,33392.69021833222,3035.699110757475,0.45454545454545453,M15,moderate,IS,session_plus_adaptive
