timeframe,candidate_count,candidate_count_score,positive_label_ratio_proxy,temporal_diversity,regime_diversity,class_balance_proxy,oos_balance_proxy,ml_readiness_score,strategy_name,exit_model,parameter_set_id
M15,1278,1.0,0.7151799687010955,0.9833333333333333,0.0,0.9624413145539905,0.2517140058765916,0.6726592918048064,trend_pullback,fixed_tp,6b29a558cfff
M15,3785,1.0,0.6338177014531043,1.0,0.0,0.9421400264200792,0.21197566442523214,0.6498808939174175,trend_pullback,fixed_tp,52e5e1983f53
M15,3785,1.0,0.6219286657859974,1.0,0.0,0.9421400264200792,0.21197566442523214,0.6475030867839962,trend_pullback,fixed_tp,298e2ea8ad4e
M15,7887,1.0,0.5866615950297959,1.0,0.0,0.9712184607582097,0.23272897780556423,0.6479244347905253,trend_pullback,fixed_tp,e83ba462c035
M15,4215,1.0,0.5708185053380783,1.0,0.0,0.9731909845788849,0.25745823389021477,0.6487610838379806,trend_pullback,fixed_tp,73920f6fe785
M15,5194,1.0,0.4817096649980747,1.0,0.0,0.9715055833654216,0.23490252020922492,0.627303148535812,trend_pullback,fixed_tp,3da18dfd23d3
M15,6617,1.0,0.6099440834214901,1.0,0.0,0.9656944234547378,0.22969708232670508,0.6512975425515145,trend_pullback,fixed_tp,ba81beaa88d4
M15,8424,1.0,0.5578110161443495,1.0,0.0,0.9484805318138652,0.23266022827041263,0.6387333172415115,trend_pullback,fixed_tp,f535f87b1d4d
M15,9770,1.0,0.5622313203684749,1.0,0.0,0.9533265097236439,0.23514538558786346,0.6407170483704211,trend_pullback,fixed_tp,a5460ead31f8
M15,7009,1.0,0.6224853759452132,1.0,0.0,0.9664716792695107,0.23072870939420545,0.6540771334886002,trend_pullback,fixed_tp,d38d64f9d094
M15,1138,1.0,0.6959578207381371,0.9833333333333333,0.0,0.9543057996485063,0.2616407982261641,0.669083553828828,trend_pullback,fixed_tp,feb16ebe9bcd
M15,5655,1.0,0.6072502210433245,1.0,0.0,0.9612732095490717,0.2274799218580421,0.6497630139197319,trend_pullback,fixed_tp,38906035b6b8
